0: 1617
4717: 4768,3303,3620
957: 4549
4103: 418,1729
959: 3370,1208
960: 3874
961: 
962: 4740,66,2928,2444,4118
963: 573,507
964: 26,3670,1381,4708
965: 4384,1118,1750,2659,4121
966: 980,1615,1431,4330
4683: 1683,3305
968: 1405,643,712,3524
4399: 1949,424,4122
970: 1221
971: 224,4551,3923
972: 3948,4626,744
973: 3316,4107,2494,1407
974: 4076,2990,1788,4596,3964
4789: 432,1573,3910,4215,1316
976: 4293
4806: 1770,3733,816,1867,3461,1310,2061,2759,3036,498
978: 345
4319: 869,2580,202,3915
980: 966,686,1824
981: 3226
982: 3642,1551,396
983: 253,4490
984: 1895,1960,2026,3116
985: 2583,2079
986: 3540
987: 151,4560,3458,940
988: 2612,2656
989: 3586,3176,2101,2076
990: 4776,2091
991: 609,3491
4546: 
993: 1570,177,2543
994: 2505
995: 3413,394,628,1086,1044
996: 1434,4081
997: 1182,4335
998: 2972
4752: 1016,3637,4239
1000: 2348
4462: 1474,275,3061,1185,1582
1002: 4693,1009,1406
1003: 2602,1397
1004: 1417,2849,4402
4154: 3363,1041
1006: 3440
1007: 1934
1008: 1541,3636,3399,2834
1009: 1002,4693
1010: 2704,2795,3903
1011: 2619,3255,1422
4185: 4766,808,99
1013: 4582,2384,2105
1014: 3999
1015: 267,3597,4641,260
1016: 4752,877,3777
1017: 1662,2593
1018: 1798,1217,4773
1019: 247,579,2871,4660
1020: 2665,623
1021: 
1022: 4444,3722,2857,1926,2568,200
4560: 3319,3458,940,987
1024: 2226,269
1025: 1671,2494,2925,3732,4172
4603: 3988,2042
1027: 
4188: 1882,530
1029: 2293,1072,600
1030: 3835,2394
1031: 1256,2301,3981
4610: 2623
1033: 1252,3812
1034: 3674,3315,3290,456
4003: 1127,3583,3339,2635,3659
1036: 1135
1037: 4027,3434,185,4304,2826
4310: 
4757: 359
1040: 2941,3227
1041: 4154,3363,769
1042: 4465,2560,1327
1043: 1914
1044: 2648,394,995,3705,1641
4557: 4122,2579,1606
1046: 590,3202,1741,411
1047: 1971,2517
1048: 547,1564,4295,819
4139: 4028,3328,952,1739
1050: 4169
4516: 566,3244
1052: 369,4403,4136
1053: 151,3458
1054: 2724,2311
1055: 
1056: 278,4173
1057: 
1058: 3315,1067,1119
1059: 2647,2335,3550
4504: 1617,3089,4287
1061: 4117,2565,1117
1062: 1984,4738
1063: 3786,1388,2888,53,3758,2646
1064: 4389,181,3179
1065: 4408,2803,2205,3016,1793,3958
1066: 876,1484,2054,2023
1067: 3315,1058,4542,1762,3667
4543: 412,378
1069: 3267,3571,3793,3640,3690
1070: 2756,2795,2831,3506
1071: 1514,3424,2788
1072: 297,4578,2293,1029,4076,2990
1073: 4241,3152,573,2711
1074: 385,3960,3814
1075: 
1076: 5,2639,4101
1077: 
1078: 441
1079: 1090,2664,3875
1080: 511,762,952,4670
4162: 1123,3044,2117,3766,2872,1884
1082: 2107
1083: 1970,2346
1084: 3609,4351,2853,4809,2140
1085: 4365
1086: 368,995,2648,38
4395: 2111,2430
1088: 4210,1808,2139
4183: 239,4221,2459
1090: 1079
1091: 349,3719,3365,212,1469
1092: 2102,3935
1093: 2250
1094: 2323,4200
1095: 3132,4158,3358,948
1096: 923,499
4698: 4527,3079,2752
1098: 2848,4168,3330
1099: 16,3040,4797,3983
1100: 1763,4690
1101: 1607
1102: 1603
4444: 1022,338,2403,732,3722
1104: 4144,2955
1105: 3435
4798: 2047,481,1362,3764,2947
1107: 368,4410,4654,3629
4205: 
1109: 2756,2532
1110: 2983
1111: 4300,2166
1112: 2714,3214
1113: 4591,2672
1114: 81,4130,4100
1115: 1498,743,3616,2620,698
1116: 937,4616,3357,20
1117: 1784,2299,834,4117,1061,4477
1118: 2471,530,965,4121
1119: 3674,3793,1058,2127
4047: 1592,559,1307,1677
4043: 22,840,3898,3066
1122: 
1123: 4162,3822,2117,1884
1124: 
1125: 3931,3329,4169
1126: 4233
1127: 4003,3583,3339,3547
1128: 2705,2653
1129: 
1130: 
4294: 3515,1651,3617,4202
1132: 1922,79,3246
1133: 3560,205,759,3908,2771
1134: 1775,2359,4540
1135: 1036
1136: 2098,1532
1137: 1442,2651
1138: 
1139: 3132,15,4547,1172,4324
4747: 2333,3145
1141: 3366,540,1805
4508: 4736,1618,3231
1143: 4802,1417
1144: 1668,3921,1270,1217
1145: 3839,4343,3877,3283
1146: 3069,868,4701,3821,4787,3870
1147: 2884,4692
1148: 573,2270,2393,2711
1149: 371
1150: 4429
1151: 4673,2640,2644
1152: 2084
1153: 3911,3996,575,558
1154: 2071,3162
1155: 1435
1156: 206,2383
4725: 3074,1767,905,2280
1158: 3837
1159: 630,3614
1160: 
1161: 3310,4471,2635,344,3583
1162: 3780,1863
1163: 288
1164: 3387,2476,1928
1165: 3156,1275,1762,4542
1166: 509,1401,1190,1708
1167: 
1168: 2171,922,2135,848
4529: 405
1170: 3353
1171: 
1172: 4324,1139,4801,2609,1611
1173: 1320,3994,1929,2343
1174: 438,2963,1413,66
1175: 1742,2140
1176: 1762,4002
4219: 4159,4455,4193,4010,692
1178: 253,1230,1504
4628: 4051,2839
4392: 3662,4466,4608
1181: 3849,1211
1182: 997,226
1183: 2426,3844,53
4443: 559,621,2178
1185: 896,82,3061,4462
1186: 3224,2386
1187: 1978,3504,667
4285: 4135,2599,747,4332
1189: 4712,292,4398,4138,4640
1190: 3393,2460,4667,1166,1401,4785
1191: 3332,3323,3899,4607
1192: 3447,3720
1193: 
1194: 1982,3299,4147
1195: 4799
1196: 4469
1197: 1903
1198: 107,190
1199: 1700,4816
1200: 417,2004,2403,2526,2749,338
1201: 1460,3671,4727,3826,3064,1956,4472
1202: 2788,2614,1512,3927
1203: 149,3001,4766,808
1204: 1692,3809,4689,4792
4510: 1217,3921
1206: 1620,2359
4273: 3925,2040
1208: 959,2912
4465: 1042,2401,1327,3492,2581
4239: 3405,3328,4752,3637,1739
1211: 150,757,4009,1181,1962
1212: 4119,508,2424
1213: 
4046: 3394,912,3820
1215: 3426,3355,4710,599,1685,2209
1216: 326,3929
1217: 4773,4510,1144,3921,1018
4808: 2395,87,4737
1219: 4722,2724,2311,3763,2493
1220: 1865,3291,3326
1221: 970
4316: 1303,1259,1406
1223: 4705,701
1224: 2143
1225: 2844
1226: 2099,4062,50,1326
4483: 
4731: 145
1229: 2923,4792,4127,3694
1230: 253,1178
1231: 4708,875,2875,3236,1905
1232: 4697,383,1299
1233: 2699
1234: 3862,2744,1881
1235: 
4730: 3028
1237: 2331
1238: 410,3345
1239: 4814,2987,1910
1240: 4198,1844,1850,1742
1241: 3461,1770,4449
1242: 4179,2423,2784
1243: 2537,614,160,3415
1244: 674,4674,1662
1245: 713,3767,4599
1246: 3448,1421
4133: 
4436: 
1249: 1532,2958,3612
1250: 3058
1251: 2814,2576,280
