557: 4648,4638,1105
558: 2814,2868,4324,4223,864
559: 352,3273,889,3869
560: 2835,2998,3402
561: 4333,1185,479,1397
562: 1460,754,3671
563: 3548
564: 85,2089,3419,207
565: 229,3395,1738,1968,701
566: 
567: 3247,1477
4414: 2347,4076,309,2858
569: 1198,4678,1573,4235,1516
4455: 4159,3844,1539,1176,4010
571: 3396
572: 1627,3197
573: 4643,4122,243,360
574: 2183
575: 3243,4065,1992,2852
576: 3766,1249,2224,1742,2655
577: 1545
4423: 3367,87
579: 878,2512,2559,1869,4208
580: 4551,1200,127,246
4402: 3603,1386,4608,2223
582: 1121,779,4738
583: 3420,3508,3993,3487
584: 3854,1059,3550,1191,1418
585: 1865,2054
586: 3807,2712,610,2129,2444
587: 2268,1426,3861,1897,4585
588: 444,107,2698,1191,933,4044
589: 
590: 2886,1528,3202,3272
591: 2082,2996,441,3509
592: 2638,4053,3823
593: 4343,1022
594: 2074
595: 2713,3120
596: 
597: 4617,2037,2167
598: 4823,2989,2530,1406,1076
599: 1795,1377,4333,3358
600: 2536,922,655,2293
601: 3676,4197,3914
4323: 2615,3154
4652: 1711,3428,4786,3250
604: 3760,1412,2570
605: 2484,1038,2720,3297
606: 2373
607: 3327
608: 23
609: 1201,3254
610: 2129,2444,1019,652,586,4238
611: 973
612: 4197,3924,3417,3431
613: 4136,4817,870
614: 3510,134,1161,303
615: 4376,4428,4713,3968,415,4698
616: 3522,1260,547,3589,4271
617: 2550
618: 3179,1846,545,2699
619: 2257,1271,3885
620: 346,3906,3649,1212,3624
621: 162,1632,3424,352,531
622: 3822
623: 3018,3637,3794,4720
624: 3464,3931
625: 4436
626: 3291,4403
627: 3772,2727,1939,1457,2509
628: 3848,2311,340,2270,1719
629: 3270,130
630: 3995,1036
631: 
4439: 828,781
633: 4416,3485,853,4728
634: 722
635: 383,510
636: 1117,3726,1308
4540: 155,678,2749
4754: 4798,4539,3980
639: 817,3470,1016
640: 2911,1785,1633,3870
641: 118,4052,2058
642: 3514
643: 2080,4734,1886,3839,1145
644: 4380,3823,2681
645: 
646: 2246,4468,2028,2826,202
647: 2226,469,1698,915
648: 3070,876
649: 2664,3496,1822,4226,3657,1870
650: 3448,1529,533
651: 771,70
652: 4815,1019,610,4238
653: 33,2493,1616
654: 4644,839,3647,2399
655: 600,1445
4594: 786
657: 63,3931
658: 3693,2856,1722
659: 
660: 1337
661: 2846
4712: 1215,2496,2102,1479,3935
663: 3827,4381,2133,1376
664: 1020,2357,4047,1855
665: 3867,893,856
666: 3995
667: 3961
668: 2636,3297,26,2720,1567
669: 31
670: 3233,1974,551,3339,4451,1620
671: 4112,750,1715
672: 3988,1342
673: 4043,22,840
674: 179,2197
4385: 1917,1711
4437: 3404,518,4577
4644: 1546,3948,1685,654,2399
678: 4540,155,2749,4789
4580: 1459,1577,4280,2560
680: 543,4522,3549,1559,3452
681: 4787,1341,4141,953
682: 2718
683: 4334,299,2270
4320: 1235,1899
685: 1241,1713,1995
686: 1724,4793
687: 1152,2356,3960
4674: 
689: 514,4349
690: 3539,283
4676: 3122,2132
692: 3290,832,747,34
693: 4127,2006,3279,2923
694: 4210,4452
695: 1301,3216,4801,1003
696: 1683,552,3788,3250
697: 2637,1651,1293,1492
698: 2252,1317,4179,803
699: 3292,2135,922
700: 277
701: 2608,3105,565,229,3355,4499
702: 1836,3204,2403,332,255
703: 2835,467,1734
704: 3682
4525: 1339,4103
706: 1781,2141,2479,2025
707: 4034,3098,932
708: 4312,4449,2019
709: 
710: 3280,1805,3476,1998,491,958
711: 1957,453,4337,5
712: 4708,2038
713: 234,2441,272,2227,3172
714: 4194,3597,2723
715: 358,3510,493
716: 3730
717: 1463,1575,1985,2749
718: 508,28,2781
4658: 2633,820
720: 1162,996,4509,4292
721: 1928,2938,1763,903
722: 634,2390
4708: 968,2038,712
724: 169,2203,906,4687,3306
725: 1762,263,3287,2646,2672
726: 4633,3886,1136,3612,4589
727: 4444,3350,198,1794,304,4100
728: 2565,2017,2470
729: 4329,1118,255,3204,4369
730: 3011,2911,473,3537,4787
731: 1282
732: 4398,2403,332,937,4665
733: 3667,2168,3979,3488,4196
734: 3736,1245,4271,3001
735: 
736: 2006,1554
737: 4432,809,2643
738: 4607,1850,3637,1020
739: 4526,4450,2350,2004,1747
740: 
741: 
742: 3252,2949,3307
743: 1082,2620
744: 1970,4440,3523
4338: 4752
746: 1298,1786,4790
747: 4128,692,832,1069,962
748: 1505
749: 2166
750: 3136,671,1715
751: 3740,1723
752: 2117,3470,1919
753: 449,1177
754: 2269,158,562
755: 2307,3190,846
756: 3490
757: 1468
758: 1061,2943
759: 4617,4189,3115,4093
760: 2058
761: 
762: 17,2393,846,4752,2543
763: 2356,1729
764: 4026,3994,869,4565
765: 
766: 1870,2664,4079
767: 493
768: 
769: 435,2046
4497: 3161,1909,2010,4229,919
771: 410,651
772: 138,1024
773: 2007,1890
774: 2517,3002,3726,4279
775: 2420,3325,4450,13,2374
776: 1900
777: 218,2795,3456,1425
778: 4240,2904
779: 3927,4738,2774,582
780: 2050
781: 4439
782: 3694,3302,3929,2524,2521
783: 1944,2097,4795
784: 2365,2831,1028,2482,2321,1931
785: 2803,1793,4434,4805
786: 4594
787: 3431,2885
4724: 1842,1606
789: 909,3976,4088,1016
790: 2407,2519,103,3255
791: 3051,540,1046,3787
792: 216,4293,912,4693,4046
793: 2184
794: 3460,1462,3661,3521
795: 4277,28,1440,4462,1896
796: 3903,3862,1749
797: 
798: 3660,2454
799: 73,542,1101,4166
800: 
801: 3203,4348,3901,823,3526,4649
802: 976,3911,3414
803: 2741,698,2252,4179
804: 472
805: 
806: 
807: 3629,2082,2996
808: 1682,2142,1278
809: 1486,737
4569: 504,1789,1031,3746,2301
4490: 4321,326,983,3083
812: 3705,534,2842,4446,2429,1100
813: 4372
814: 3568
815: 4021,3099,154
816: 
817: 639,3470,2098,3230
818: 402,1982,4215,3609,2697
819: 2221,1545,3616
820: 4111,3959,4658,1530
821: 1773,4813,3679
822: 3945,400
823: 3901,3526,1070,801
824: 468,2810,2469,1654
825: 
826: 4272,3357,1104,857,3164
827: 
828: 4439,4612
829: 391,3687
830: 2972,4673,4559,4722
4693: 1181,3654,792,1433
832: 692,3290,1069,1034,747,4128
833: 1415,1590,4745,1574
834: 1128,1549
4785: 1369
836: 2788,253,298,4493
4705: 2608,3105,1215,2303
4449: 4312,708,3057
839: 4476,3647,4185,3948,654
840: 2171,673,3693
841: 3611
842: 
843: 1769,2442,3923,3922,2038
844: 3042,2609,3124,3216
845: 2861,1518,1196,276
846: 17,762,755
847: 4269,4035
848: 4311,4160,3799
849: 2191,4315,4005,529
850: 1504
851: 
852: 4771
853: 419,4728,633,2648
854: 2792,2603,4650,3605
855: 1989,2837
856: 665,1726
857: 1732,4686,1104,826
858: 3446,1498,2933,3106
859: 224,4421,1265
860: 207,1670,85,1256,1638
861: 2902
862: 3289,523,1667
863: 2385,3207,4013,4275
864: 3416,4223,4462,2814,558
865: 930,2941,2293,2963
866: 
867: 947,4786,64,1711
868: 3728,3081,2280,1316
869: 3994,4393,3783,4026,764
870: 4403,370,613
871: 1127,3919,3665
872: 3905
873: 1320,3606
874: 2416,3163,2015,3055,4626
875: 4784,4547,2150,1933
876: 4292,2377,3980,3764,3070,648
877: 190,3854,3480,2140
878: 579,2512,4726,4208
879: 3064,273
880: 
881: 2447,2162
882: 4241,4675,3695,963,4618,2193
4815: 1019,652,1240,4002
4542: 1694,3173,4196,2959,2526,3722
885: 4516,4327,2054
886: 2519,995
4512: 3301,3549,3782,2945
888: 2580,3751
889: 4720,2334,3869,559
890: 1913
891: 4122,487,2600,4643
892: 2979,2914,3502,3538
893: 3867,490,665
894: 3182,1315,3825
895: 407,1868,2387,2805
896: 2484,4821
897: 2055,1731,4760
4607: 1850,738,3018,3637
899: 3826,3446,3675
900: 1550,1086,2830
901: 2836,1257,965,213,2100
902: 2711,1641,3413,4639,367,2311
903: 3695,721,2938,2965
904: 3930,1380,4112,2697,3154
905: 2778,4235,1653,3617,3359,3074
906: 4687,6,724,3306,2312
907: 1018,3784,3790,39,1956
908: 1448,2362,166,4637,3280,3476
909: 789,3108,4088
910: 44,3594
911: 2761,3411,1450
912: 792,4293,4046,3453
913: 4649,3015,3203,1948
914: 486,2756
