934: 1239,928
935: 845,473,3816,1227,411
936: 2608,4705,527
937: 3993,213,2809,484
938: 2662,1639
939: 2581,1022,2199,221
940: 2421,569,2910
941: 2044,4496
4163: 4497,3543,726,101,4608,4086
943: 4036,3807,789,55
944: 152,1451
945: 2975,3662
946: 3847,976,3834
947: 3564,1492,1767,2159
948: 2852,694,2930,1560,328
949: 2911,3307,1429
950: 2698,4789,2361
951: 1538,1439,2287
952: 4105
953: 2769,3559,2744,4149,4625
954: 2756,4533,2654
955: 3361,2911,4498,2554
956: 3709,4524,3138
4656: 1302,4456,2589,2191
958: 3478,1994,4549,3051
959: 2251,3116
960: 3673,3774
961: 1433,3350,3233,3571
962: 702
963: 4435,4718,674,1004
964: 1751,2225,594,3319
965: 255,2771,2207,3344,911
966: 4572,4029,1865
967: 1446,764,1876
968: 3936,544,4041,3986
969: 3591,3302,3601
970: 
4321: 1743,4234
972: 1912,872,1882,1114,3017,2258,4074
973: 4037,564,1382
4607: 3028,3101
975: 270,2089,1432,2709,4445
976: 946,1975,3141,2373
977: 2152,2290,3182
978: 4768,4447,2759
979: 2033,74,73
4714: 784,2589
981: 3672
982: 1273
983: 1149
984: 836,3617,3269,1512,1745
985: 499,2282
986: 4765,2149,1920
987: 2979,16
988: 3934,1855,2950,2988,1219
4550: 3078,3427
4150: 2515,1303,4421,1038,771
4501: 3402,220,1681,2835
992: 4617,4177
993: 1945,2850
4809: 1423,3884,303
995: 2645,3400,2917
996: 1685,509,4181
997: 4516,4624,1400
998: 4073
999: 
1000: 1224,2439,2686,165
1001: 4713,2883,3698,4810
1002: 2141,1077,3453
4525: 3174,3474,3077
1004: 1725,4718,963
1005: 4333,4184
1006: 1296,1852
1007: 4785,3912,241
1008: 404,2272,4596,2889
4209: 730,66,76
1010: 920
1011: 669,579,2465,1458
1012: 4823,1326,2210,3533
1013: 1988
1014: 3928
1015: 95,3978
1016: 677,4628,4536,1856,4196,3479
1017: 
1018: 271,422,2982
1019: 4002,1023
1020: 1917,4492,4308
1021: 
1022: 3881,135,2199,939,1029,221
1023: 1136,4334,1019
1024: 4034,2731,1451,2449
1025: 3418,3739,136,3567
1026: 1852,1209
1027: 2590
1028: 3663,3665,4770
1029: 877,221,1860,1022,3881
1030: 1898,3144,802,1731
1031: 89,4531,3178,3734
1032: 1839,497,3803
1033: 4672,4307,3698,4296,4810,2061
1034: 3962,2691,705,2952,4739
1035: 
1036: 1199,773,1724
1037: 3818,2554,3361,2321
1038: 3124,1153,4150,771
1039: 3043,450
1040: 3153,360,2213,1327,229,705
1041: 2378,3019,1959
1042: 3432,4777,660,3989,3906
1043: 3273,4701,4774
1044: 3792,3942
1045: 2543,344,628,1272
1046: 4456,4363,4770
1047: 
1048: 795,3803,4788
1049: 1884,3636,1327,360
1050: 2718
4207: 4710,3508,1247
1052: 2136,3948,4818
4487: 1817,2323
1054: 3028,1801
4316: 4560,1528
1056: 
4641: 3321
4623: 3935,3728,4398
4290: 4020,3874,3824,3625
1060: 2003,1475,2127,2562,2664,2922,930
1061: 3652,2008,3688
1062: 1510,3296,2205,3697,1736
4313: 3553,1378,4576
1064: 1300,4348,3424
1065: 671,3074,3720
1066: 2414,1652
1067: 2100,3395
1068: 4280,338,415
1069: 1079,1638,2256,2419
1070: 2478,2702,551
1071: 1188
4704: 2920
1073: 1167,2069,2604
1074: 3839,2329,1715,1410
1075: 3228,3422,1088
1076: 792,1385,2530
1077: 4760,2518,1002
1078: 841,3108,1258
1079: 3830,1638,1069,1393
4748: 2855
1081: 3073
1082: 3416,1150
1083: 2608,2181,3955,1835
1084: 113,352
4454: 1340
1086: 857,3822,1103,2858,297
1087: 4799,1616,3534
1088: 1735,3642,1075,3422
1089: 2388,3594
4408: 4725,3203,1904,3405
1091: 4201,843,4183,3499,3436,3737
1092: 4437,1278,2171,1232
1093: 
1094: 
1095: 3061,3325,3936
1096: 1596,3708,801,2000
1097: 1911
1098: 
1099: 2137
1100: 
1101: 1693,4107
1102: 2088
1103: 3793,1086,2853
1104: 1747,931,498
4444: 2370,1938,1926
1106: 1354,1380,3156,2697
1107: 661
1108: 
1109: 3956,1680,439,2654,4146
1110: 682
1111: 
1112: 190,4659,2344
4673: 1907,308
1114: 1253,1882,2051,972,872
1115: 4266,119,4373,1217
1116: 1201,4071,3358,4023,2206,4723
1117: 3652,2271,2134,2653
4223: 4451,2116,1974
1119: 244,297,1909,2858,4740
4590: 2208,285,4727,4657
1121: 8,1208
1122: 3392
4568: 4652
1124: 4570
1125: 4203
1126: 4716,483
1127: 1410,3839,3923,3294
1128: 637,4630,4022
1129: 4654,2294,4466
1130: 
1131: 1832,3441
1132: 
1133: 1278,2002,312
1134: 4228,2818,4591
1135: 1252,1360
1136: 1023,4334,317,429
1137: 3340,4674
1138: 821,1573,1146,3298,4647
1139: 2130,1405,2078,1567
1140: 2780,3352
1141: 157,2955,1769,3524,2985
4782: 3757,2007
1143: 
1144: 3103,1792,3522,4210,1185,3826
1145: 2865,3577,4212,3372,1276
1146: 1138,821,4647,1745,113
1147: 
4692: 4077
1149: 983,1248
1150: 1392,1961,1082,3416
4818: 2980,564,3948,1678,1052
1152: 3653,4256,802
1153: 1038,3124,3449,2977,4662
1154: 2703
1155: 1238
4333: 1005,3940,4184,1268,2520
4506: 1242
1158: 828
4551: 4228,2818,417,3484,3681
1160: 3463,4711,2154,92,3472
4495: 
1162: 2258,1925
1163: 1930,4520,1955
1164: 2177,2641
1165: 530,2272,2037
1166: 3129,1627,4115,2798
1167: 1073,2604
4615: 2604,4208,4554
1169: 1238,4266,274
1170: 3231,4434,3974
4484: 138
4597: 
1173: 3015,3458,646
1174: 3359,1860,3785,153
1175: 10,1196,9,2866
1176: 1455,4576,459
1177: 370
1178: 4354,1984,4262
1179: 1310
1180: 107,4740,4377,2277,3746
1181: 4686,3877
1182: 
4132: 485,138
1184: 2421
1185: 1602,3826,3103,1144
1186: 2983,4286,4529,500
4400: 554,706
1188: 1071
1189: 1256,4383
1190: 2430,2378
1191: 491,1647,1990,3747
1192: 4417,748,3729
1193: 4679
1194: 914,3997,1632,2931
4393: 1356
1196: 1175,10,1618,2224
1197: 
1198: 4536,4548,1856,2928
1199: 1036,1724
4229: 4783,374,2996,2029,4054
1201: 1116,4071,3358,4734
1202: 4647,1512,1596,1216,3298
4424: 717,1810,2514,440
1204: 4417,4780
1205: 1494,1888
1206: 3531,3252,3155,4381,9,2866
4439: 4049,2949,2339,66
1208: 3053,748,1821,1121
1209: 1296,1852,1026
1210: 
1211: 174,3771,292,3667,3110,1215
1212: 1657,4142,606,558
1213: 351
1214: 4807
1215: 1794,1211,292,3667
1216: 4151,1596,1512,1202
1217: 234,4373,4653,1115,1404
1218: 3195,900,4544
1219: 2041,988,3934,2950,4737
1220: 356,482,1735
1221: 
4539: 3373
1223: 2770,4183,4337,1532
1224: 1000,2686,2590
4187: 2398,690,2352
1226: 2533,3618,3700,2526
1227: 411,935
1228: 2715,1780,917,3259,4438
4681: 
1230: 2146,813
4613: 519,1540,2633,2355
1232: 2171,1092,4754
1233: 
4391: 1957,4534,1419,1284,493
1235: 483
1236: 1536,2363,549,537
1237: 
1238: 1169,1155
1239: 829,928,2315,934
1240: 4725,2934,4709
1241: 317,2851,4426,4334
1242: 4506,4644
