0: 1882,3908
698: 280,3589,4412
699: 1310,2061,2528,1705
700: 2901,2291,3026,2808
701: 3432,4222,4185,2609,2403,4462
702: 4838,1733,3832,3938,518,1256,658
703: 3713,426,309,611,4309
704: 18,3682,360
705: 4578,4172,4584,2110,1570
706: 1887,515,3576,1674,1061
707: 3434,3182,940,4064
708: 581,1275,2213,338,1060
709: 3724,4818,3933,4374,258,48
710: 1998,4209,1476,1598
711: 4360,3268,1063,2736,4207,3111
712: 734,2062,4494,3911,1223,1095
713: 1162,1873,2131,1005,4481
714: 1253,431
715: 1815,3751,746,4319
716: 2185,1466,2363,2271
717: 2295,3,3472,3307,2751,140
718: 1309,395,1939,1050
719: 3551,4560,3772,2800
720: 2587,4845,1411,4746
721: 1707,3587,591,833
722: 2772,2211,2874,3028,2476,1555
723: 989,4381,3827,953
724: 925
725: 1780,1619,399
726: 1770,573,633,2293,1257,1123,649
727: 4518,3284,127,4691
728: 4084,2145,3493,2299,3453
729: 874,365,229,4023
730: 3768,1288,2866,818,473
731: 3721,4672,4307
732: 3896,4588,1114,1377
733: 1522,1999,527
734: 712,2484,1223,366,81
735: 2435,1772,2074,3748
736: 4387,3390,2014
737: 4813,2912,1875,1096
738: 3384,352,1982,1945,889
739: 1968,550,2416,1114
740: 2084,1703,1309,2700
741: 3177,686,4300,642,3067
742: 3710,4787,1958,3336
743: 35,80,1754,1317
744: 2384,1299,3419
745: 
746: 4279,715,1815,4319,1279,3510
747: 4391,1720,3709,2199,3284
748: 4735,836
749: 4153,3429,3995
4858: 4244
751: 1905,3416,1172,4150,1003
752: 4686,1840,2672,3775,1262
753: 2348,4473,1824,960
754: 1444
755: 139,1248,1514
756: 426,4115
757: 1686,879,3671,562,4412
758: 
759: 992,1829,2422,3567,3874,1052
760: 1951,4783,2638
5008: 517
762: 4673,2196,813
763: 
764: 1786,1254,1639,1848,363,4677,2589
765: 416,625,2658,1536,827
766: 2627,3822,2560,3873,1413
767: 1348,4787,3081,2949
768: 
769: 1101,4107,3393,4154
770: 3032,4395,3055
771: 2529,3473,3573,2180
772: 76,1024,2606,1519
773: 4489,1691,539,2927,3049
774: 3749,788,3415
775: 2857,4391,4640,1604,3438
776: 1812
777: 408,2704,1653,3264
778: 1098,3837
779: 
780: 2929,2902,261
781: 233,2910,923,4298,2628
782: 2458
783: 3659,3341,859,3124,3527
784: 3661,1548,3235,1302,3306
785: 681,2749,2969,1651
786: 
787: 1937,2176,2964,2366,73,2585
788: 1076,1469,3917,774,3415
789: 2724,3020,531,1261,4490
790: 1426,4507,249
791: 3294,871,3888,2478
792: 2705,3538,2914,4195,3493
793: 3702,2269,4259,3907
794: 440,3957,3903
795: 474,3911,1223,307,81
796: 2398,828,881,1644
797: 6,2185
798: 388
799: 4501,1951,1193,1055
800: 2482,2273,4066,1210
801: 3203,4604,4780,985
802: 2989,4763,1877,2779,594
803: 3540,3300,1350,3522
804: 1953
805: 862,523
806: 3092,667,4777,3868
807: 1755,1964,3863
808: 2652,1687,1883,616,4051,2533
809: 1663,8,4349,2742,4669
810: 980,4249
4989: 2094
812: 
813: 4673,2196,762,3595,4652
814: 4403,226,172,1428
815: 2731,4012,2992,2352,4413
816: 1450,2871,878,2559
817: 4559,1020,4598,1870,494
818: 3768,730,473,4044,3609,3280,3974
819: 4452
820: 2633,3725,3303,1533,1540
821: 1746
822: 4175,1961,4811,4382
823: 339,3334,2756,2614,2132
824: 1667,2085
825: 4419,629,4169
826: 4329,4270,3355,4440,1118,975,278
827: 2658,1536,1675,4833,2576,2807,765
828: 2398,796,3238,881
829: 1048,4606,35,80
830: 1378,2427,3543,4530,2612
831: 4775,347,2517,496,1117
832: 2206,451,935,4135
833: 1081,367,2058,721
834: 912,71,1880,4763
835: 2157,1566,553,4876,4718
836: 4735,748,1477,86,1394
837: 31,2743,890,4306,4768,4143
838: 504,1432,1256,658,2823
839: 2764,668,1392,606,1668
840: 536,1103,1869,4580,20
841: 4724,4654,4368,4722,2780
842: 2452,1666
843: 1957,2075,987,2305
844: 2690,69,3630,558,2974
845: 432,1633,3712,1736
846: 1677,4109,1475,4680
847: 535
848: 2465,1166,4380,3560,2798
849: 2353,2514,1065,392,1451
850: 
851: 1219,1585,2260
852: 39,2180,2184,2620,4537
853: 924,3331,655,4428,3655
854: 2649,3845,2604,4739,4505
855: 3711,2014
856: 3119,1416,3994,4281,4034
857: 2464,3842,4384,1722,3267,1393,4447
858: 483,1908
859: 4041,1032,1515,783,3124
860: 1226,3641,2047,4194
861: 2902,1159
